,"(10, 0)","(10, 1000)","(10, 5000)","(10, 8000)","(200, 0)","(200, 1000)","(200, 5000)","(200, 8000)"
wc,416.16007593984,394.43006423040003,316.08140464128,265.87267497984,417.03496138752,399.56333789184004,329.67702331392,277.71025219584
wc.wa,68.94000807936,66.67987089408,57.6393535488,50.85896890368,9.6699916032,9.40637531136,8.3519073408,7.561056783360001
wc.or,128.7192213504,124.54724345856,107.8593318912,95.34339821568,157.84685543424,153.5264649216,136.24492978176,123.28379412480001
wc.ca,218.50085548032,203.2029364224,150.58271920128,119.67030337536,249.51813341184,236.63053578240002,185.08014526464,146.86542483456
ec,93.27988420608,65.33754175488001,2.53411606656,0.0,106.30601822208,89.58599319552,24.03577826304,0.31617664224
ec.ne,31.33282630656,24.27912741888,1.2534424704,0.0,26.45490398208,22.92139413504,8.78736371712,0.02112021984
ec.ma,22.466746490880002,16.63279953408,0.39242914848,0.0,20.4428069376,17.652029598720002,6.48891127296,0.2950564224
ec.se,39.480309166080005,24.42561143808,0.8882443776000001,0.0,59.40832075776,49.012575068160004,8.759506076160001,0.0
hi,118.27432323072,102.9542252544,54.84030116352,31.03552676352,368.65472544768,330.51132739584,191.27497506816002,109.74450855936
ak,1137.97040634528,1045.82996603424,752.9907439948801,570.4984850784,1041.53150754816,992.96993820672,798.72392097792,653.1783458611201
gm,24.5227972608,8.3624669952,0.0,0.0,12.890825794560001,4.88400751104,0.0,0.0
prusvi,17.691523883520002,12.68265287424,2.13319203072,0.0,5.80122464256,4.90697524992,1.32997767936,0.0
