,length,oneway,off,bdir,trad,unit,area,sbt,sds,sice,sin,snl,stot
wc,1994474.0,415.51956492288,60.435628523519995,475.9551934464,355.08397228032004,753.70511204352,815923068928.0,-0.03570791934,-485.87193729024,0.0,715.1706115276801,-141.13397071872,88.12901093376
wc.wa,30093.24609375,9.67023492096,0.4074787583999999,10.07771367936,9.26275896576,13.59960482304,59670458368.0,-0.015101003745000001,-36.7089580032,0.0,49.99304472576,-10.42126714368,2.8477369612800003
wc.or,493194.40625,157.74757281792,8.911431106560002,166.65900392448,148.83609686016,216.15074230272,179755892736.0,-0.011948677230000001,-127.25809483776,0.0,178.6647552,-35.3566158336,16.0380771072
wc.ca,1471186.625,249.01773754368,51.07665420288001,300.09439174656,197.94110128128,525.04763056128,575793004544.0,-0.00963135063,-320.65626292224,0.0,484.6347976704,-95.14965000192001,68.81927313408
ec,1908679.5,106.11181252608,105.85829560320002,211.97010812928002,0.25350921408,347.68104849408,890959429632.0,-3.95268832128,-832.66137980928,0.0,1217.2810872422401,-203.64626362368,177.02070755328
ec.ne,403368.46875,26.473909678080002,31.3628295168,57.83673919488,-4.88892039936,98.12611018752,208611721216.0,-0.69506121888,-237.13507590144002,0.0,347.7148483584,-56.815854120960005,53.06889068544
ec.ma,318582.125,20.4596261376,19.69413725184,40.15376338944,0.76548902592,66.30493280256,191075008512.0,-0.91229380128,-213.20398258176002,0.0,310.65666994176,-50.173736755200004,46.36670410752
ec.se,1186728.875,59.32702347264,54.86532476928,114.19234824192,4.46169421824,183.8460555264,487995932672.0,-2.4570880550400003,-379.39188744192,0.0,554.54432722944,-96.02078588928,76.67454369792
hi,4354267.0,367.62121027584004,288.08646967295994,655.7076799488,79.5348123648,1159.13807265792,895672909824.0,-8.9609735625e-05,-193.18612058112,0.0,271.20508796928,-70.59673964544,7.4222081203200005
ak,5543553.0,1038.64198692864,609.3898815897599,1648.0318685184,429.25232062464,2863.7153918976,3208809021440.0,-11.19832539648,-4634.05870743552,0.0,6806.85004652544,-1175.7644483788802,985.83310761984
gm,914020.3125,12.86207729664,14.826799810559999,27.6888771072,-1.96472461632,43.718509854720004,693228273664.0,-0.9524483097600001,-238.85829488640002,0.0,365.64395409408,-70.06085750784,55.77239095296
prusvi,102083.265625,5.77899358464,1.72249800192,7.50149158656,4.05649474176,12.731744194560001,210565857280.0,-0.006455840227500001,-49.127860592640005,0.0,80.42446282752,-20.57935193088,10.710778275840001
total,14817077.0,1946.53564553472,1080.3195732019199,3026.85521873664,866.2163846092801,5180.689879142401,6715158298624.0,-16.14571539682312,-6433.7643005951995,0.0,9456.575250186237,-1681.7816318054402,1324.888203456
