,"(10, 0)","(10, 1000)","(10, 5000)","(10, 8000)","(200, 0)","(200, 1000)","(200, 5000)","(200, 8000)"
wc,438.64667357184004,416.25250529280004,331.54297675776,276.9958084608,477.46797060096003,459.99638298624,390.11003252736003,337.69519792128
wc.wa,69.20805230592,66.94791512064,57.907402260480005,51.12701313024,10.0832729856,9.81965669376,8.76518928384,7.9743387264
wc.or,129.60620765184,125.43422976000001,108.7463092224,96.23037554688,166.8283441152,162.50795360256,145.22642743296,132.26528280576
wc.ca,239.83246295040001,223.87042320384,164.88928321536,129.6384018432,300.55635910656,287.66877941760004,236.11840684032,197.45559601152002
ec,100.72070725632,72.75729819648001,5.4632742144,0.0,212.59700232192,195.87697729536,128.99685924864,78.83879350272001
ec.ne,35.611702548480004,28.55800590336,3.1959129024,0.0,57.971131330560006,54.437623726080005,40.30358882304,29.7030660096
ec.ma,23.69768318976,17.863739596800002,0.81326865888,0.0,40.181064314880004,37.390283612160005,26.22716977152,17.854828784640002
ec.se,41.41131927552,26.335557181440002,1.4540924428800002,0.0,114.44481564672,104.04907892736,62.466091683840006,31.280899829760003
hi,156.26498276352,140.9357127168,83.53659565056,51.3600846336,657.4748172288,619.33149093888,466.75797049344004,352.32784809984
ak,1368.78839374848,1274.5286279260802,966.68525630208,767.26862230272,1652.40346116096,1603.84199049216,1409.59585665024,1263.91124729856
gm,27.063759022080003,9.54022362624,0.0,0.0,27.7623545856,19.75553630208,0.0,0.0
prusvi,19.91709368832,14.3425615872,2.29327563456,0.0,7.524302346240001,6.6300529536,3.0530556633600003,0.37030713504
